Code,Description,ISIC Section,ISIC Section Heading,DSI Sector
1,"Crop and animal production, hunting and related service activities",A,"Agriculture, forestry and fishing",Animal and Plant Breeding
11,Growing of non-perennial crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
111,"Growing of cereals (except rice), leguminous crops and oil seeds",A,"Agriculture, forestry and fishing",Animal and Plant Breeding
112,Growing of rice,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
113,"Growing of vegetables and melons, roots and tubers",A,"Agriculture, forestry and fishing",Animal and Plant Breeding
114,Growing of sugar cane,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
115,Growing of tobacco,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
116,Growing of fibre crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
119,Growing of other non-perennial crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
12,Growing of perennial crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
121,Growing of grapes,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
122,Growing of tropical and subtropical fruits,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
123,Growing of citrus fruits,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
124,Growing of pome fruits and stone fruits,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
125,Growing of other tree and bush fruits and nuts,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
126,Growing of oleaginous fruits,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
127,Growing of beverage crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
128,"Growing of spices, aromatic, drug and pharmaceutical crops",A,"Agriculture, forestry and fishing",Animal and Plant Breeding
129,Growing of other perennial crops,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
13,Plant propagation,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
130,Plant propagation,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
14,Animal production,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
141,Raising of cattle and buffaloes,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
142,Raising of horses and other equines,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
143,Raising of camels and camelids,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
144,Raising of sheep and goats,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
145,Raising of swine/pigs,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
146,Raising of poultry,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
149,Raising of other animals,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
15,Mixed farming,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
150,Mixed farming,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
16,Support activities to agriculture and post-harvest crop activities,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
161,Support activities for crop production,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
162,Support activities for animal production,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
163,Post-harvest crop activities,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
164,Seed processing for propagation,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
17,"Hunting, trapping and related service activities",A,"Agriculture, forestry and fishing",Exclude DSI
170,"Hunting, trapping and related service activities",A,"Agriculture, forestry and fishing",Exclude DSI
2,Forestry and logging,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
21,Silviculture and other forestry activities,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
210,Silviculture and other forestry activities,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
22,Logging,A,"Agriculture, forestry and fishing",Exclude DSI
220,Logging,A,"Agriculture, forestry and fishing",Exclude DSI
23,Gathering of non-wood forest products,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
230,Gathering of non-wood forest products,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
24,Support services to forestry,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
240,Support services to forestry,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
3,Fishing and aquaculture,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
31,Fishing,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
311,Marine fishing,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
312,Freshwater fishing,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
32,Aquaculture,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
321,Marine aquaculture,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
322,Freshwater aquaculture,A,"Agriculture, forestry and fishing",Animal and Plant Breeding
5,Mining of coal and lignite,B,Mining and quarrying,Exclude DSI
51,Mining of hard coal,B,Mining and quarrying,Exclude DSI
510,Mining of hard coal,B,Mining and quarrying,Exclude DSI
52,Mining of lignite,B,Mining and quarrying,Exclude DSI
520,Mining of lignite,B,Mining and quarrying,Exclude DSI
6,Extraction of crude petroleum and natural gas,B,Mining and quarrying,Exclude DSI
61,Extraction of crude petroleum,B,Mining and quarrying,Exclude DSI
610,Extraction of crude petroleum,B,Mining and quarrying,Exclude DSI
62,Extraction of natural gas,B,Mining and quarrying,Exclude DSI
620,Extraction of natural gas,B,Mining and quarrying,Exclude DSI
7,Mining of metal ores,B,Mining and quarrying,Exclude DSI
71,Mining of iron ores,B,Mining and quarrying,Exclude DSI
710,Mining of iron ores,B,Mining and quarrying,Exclude DSI
72,Mining of non-ferrous metal ores,B,Mining and quarrying,Exclude DSI
721,Mining of uranium and thorium ores,B,Mining and quarrying,Exclude DSI
729,Mining of other non-ferrous metal ores,B,Mining and quarrying,Exclude DSI
8,Other mining and quarrying,B,Mining and quarrying,Exclude DSI
81,"Quarrying of stone, sand and clay",B,Mining and quarrying,Exclude DSI
810,"Quarrying of stone, sand and clay",B,Mining and quarrying,Exclude DSI
89,Mining and quarrying n.e.c.,B,Mining and quarrying,Exclude DSI
891,Mining of chemical and fertilizer minerals,B,Mining and quarrying,Exclude DSI
892,Extraction of peat,B,Mining and quarrying,Exclude DSI
893,Extraction of salt,B,Mining and quarrying,Exclude DSI
899,Other mining and quarrying n.e.c.,B,Mining and quarrying,Exclude DSI
9,Mining support service activities,B,Mining and quarrying,Exclude DSI
91,Support activities for petroleum and natural gas extraction,B,Mining and quarrying,Exclude DSI
910,Support activities for petroleum and natural gas extraction,B,Mining and quarrying,Exclude DSI
99,Support activities for other mining and quarrying,B,Mining and quarrying,Exclude DSI
990,Support activities for other mining and quarrying,B,Mining and quarrying,Exclude DSI
10,Manufacture of food products,C,Manufacturing,Review DSI
101,Processing and preserving of meat,C,Manufacturing,Review DSI
1010,Processing and preserving of meat,C,Manufacturing,Review DSI
102,"Processing and preserving of fish, crustaceans and molluscs",C,Manufacturing,Review DSI
1020,"Processing and preserving of fish, crustaceans and molluscs",C,Manufacturing,Review DSI
103,Processing and preserving of fruit and vegetables,C,Manufacturing,Review DSI
1030,Processing and preserving of fruit and vegetables,C,Manufacturing,Review DSI
104,Manufacture of vegetable and animal oils and fats,C,Manufacturing,Review DSI
1040,Manufacture of vegetable and animal oils and fats,C,Manufacturing,Review DSI
105,Manufacture of dairy products,C,Manufacturing,Review DSI
1050,Manufacture of dairy products,C,Manufacturing,Review DSI
106,"Manufacture of grain mill products, starches and starch products",C,Manufacturing,Review DSI
1061,Manufacture of grain mill products,C,Manufacturing,Review DSI
1062,Manufacture of starches and starch products,C,Manufacturing,Review DSI
107,Manufacture of other food products,C,Manufacturing,Review DSI
1071,Manufacture of bakery products,C,Manufacturing,Review DSI
1072,Manufacture of sugar,C,Manufacturing,Review DSI
1073,"Manufacture of cocoa, chocolate and sugar confectionery",C,Manufacturing,Review DSI
1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",C,Manufacturing,Review DSI
1075,Manufacture of prepared meals and dishes,C,Manufacturing,Review DSI
1079,Manufacture of other food products n.e.c.,C,Manufacturing,Nutraceuticals (food and health supplements)
108,Manufacture of prepared animal feeds,C,Manufacturing,Review DSI
1080,Manufacture of prepared animal feeds,C,Manufacturing,Review DSI
11,Manufacture of beverages,C,Manufacturing,Review DSI
110,Manufacture of beverages,C,Manufacturing,Review DSI
1101,"Distilling, rectifying and blending of spirits",C,Manufacturing,Review DSI
1102,Manufacture of wines,C,Manufacturing,Review DSI
1103,Manufacture of malt liquors and malt,C,Manufacturing,Review DSI
1104,Manufacture of soft drinks; production of mineral waters and other bottled waters,C,Manufacturing,Review DSI
12,Manufacture of tobacco products,C,Manufacturing,Review DSI
120,Manufacture of tobacco products,C,Manufacturing,Review DSI
1200,Manufacture of tobacco products,C,Manufacturing,Review DSI
13,Manufacture of textiles,C,Manufacturing,Exclude DSI
131,"Spinning, weaving and finishing of textiles",C,Manufacturing,Exclude DSI
1311,Preparation and spinning of textile fibres,C,Manufacturing,Exclude DSI
1312,Weaving of textiles,C,Manufacturing,Exclude DSI
1313,Finishing of textiles,C,Manufacturing,Exclude DSI
139,Manufacture of other textiles,C,Manufacturing,Exclude DSI
1391,Manufacture of knitted and crocheted fabrics,C,Manufacturing,Exclude DSI
1392,"Manufacture of made-up textile articles, except apparel",C,Manufacturing,Exclude DSI
1393,Manufacture of carpets and rugs,C,Manufacturing,Exclude DSI
1394,"Manufacture of cordage, rope, twine and netting",C,Manufacturing,Exclude DSI
1399,Manufacture of other textiles n.e.c.,C,Manufacturing,Exclude DSI
14,Manufacture of wearing apparel,C,Manufacturing,Exclude DSI
141,"Manufacture of wearing apparel, except fur apparel",C,Manufacturing,Exclude DSI
1410,"Manufacture of wearing apparel, except fur apparel",C,Manufacturing,Exclude DSI
142,Manufacture of articles of fur,C,Manufacturing,Exclude DSI
1420,Manufacture of articles of fur,C,Manufacturing,Exclude DSI
143,Manufacture of knitted and crocheted apparel,C,Manufacturing,Exclude DSI
1430,Manufacture of knitted and crocheted apparel,C,Manufacturing,Exclude DSI
15,Manufacture of leather and related products,C,Manufacturing,Exclude DSI
151,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",C,Manufacturing,Exclude DSI
1511,Tanning and dressing of leather; dressing and dyeing of fur,C,Manufacturing,Exclude DSI
1512,"Manufacture of luggage, handbags and the like, saddlery and harness",C,Manufacturing,Exclude DSI
152,Manufacture of footwear,C,Manufacturing,Exclude DSI
1520,Manufacture of footwear,C,Manufacturing,Exclude DSI
16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",C,Manufacturing,Exclude DSI
161,Sawmilling and planing of wood,C,Manufacturing,Exclude DSI
1610,Sawmilling and planing of wood,C,Manufacturing,Exclude DSI
162,"Manufacture of products of wood, cork, straw and plaiting materials",C,Manufacturing,Exclude DSI
1621,Manufacture of veneer sheets and wood-based panels,C,Manufacturing,Exclude DSI
1622,Manufacture of builders' carpentry and joinery,C,Manufacturing,Exclude DSI
1623,Manufacture of wooden containers,C,Manufacturing,Exclude DSI
1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",C,Manufacturing,Exclude DSI
17,Manufacture of paper and paper products,C,Manufacturing,Exclude DSI
170,Manufacture of paper and paper products,C,Manufacturing,Exclude DSI
1701,"Manufacture of pulp, paper and paperboard",C,Manufacturing,Exclude DSI
1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,C,Manufacturing,Exclude DSI
1709,Manufacture of other articles of paper and paperboard,C,Manufacturing,Exclude DSI
18,Printing and reproduction of recorded media,C,Manufacturing,Exclude DSI
181,Printing and service activities related to printing,C,Manufacturing,Exclude DSI
1811,Printing,C,Manufacturing,Exclude DSI
1812,Service activities related to printing,C,Manufacturing,Exclude DSI
182,Reproduction of recorded media,C,Manufacturing,Exclude DSI
1820,Reproduction of recorded media,C,Manufacturing,Exclude DSI
19,Manufacture of coke and refined petroleum products,C,Manufacturing,Exclude DSI
191,Manufacture of coke oven products,C,Manufacturing,Exclude DSI
1910,Manufacture of coke oven products,C,Manufacturing,Exclude DSI
192,Manufacture of refined petroleum products,C,Manufacturing,Exclude DSI
1920,Manufacture of refined petroleum products,C,Manufacturing,Exclude DSI
20,Manufacture of chemicals and chemical products,C,Manufacturing,Exclude DSI
201,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",C,Manufacturing,Exclude DSI
2011,Manufacture of basic chemicals,C,Manufacturing,Nucleic Acids
2012,Manufacture of fertilizers and nitrogen compounds,C,Manufacturing,Animal and Plant Breeding
2013,Manufacture of plastics and synthetic rubber in primary forms,C,Manufacturing,Exclude DSI
202,Manufacture of other chemical products,C,Manufacturing,Exclude DSI
2021,Manufacture of pesticides and other agrochemical products,C,Manufacturing,Animal and Plant Breeding
2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",C,Manufacturing,Exclude DSI
2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",C,Manufacturing,Cosmetics
2029,Manufacture of other chemical products n.e.c.,C,Manufacturing,Review DSI
203,Manufacture of man-made fibres,C,Manufacturing,Exclude DSI
2030,Manufacture of man-made fibres,C,Manufacturing,Exclude DSI
21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,C,Manufacturing,Pharmaceuticals
210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",C,Manufacturing,Pharmaceuticals
2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",C,Manufacturing,Pharmaceuticals
22,Manufacture of rubber and plastics products,C,Manufacturing,Exclude DSI
221,Manufacture of rubber products,C,Manufacturing,Exclude DSI
2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,C,Manufacturing,Exclude DSI
2219,Manufacture of other rubber products,C,Manufacturing,Exclude DSI
222,Manufacture of plastics products,C,Manufacturing,Exclude DSI
2220,Manufacture of plastics products,C,Manufacturing,Exclude DSI
23,Manufacture of other non-metallic mineral products,C,Manufacturing,Exclude DSI
231,Manufacture of glass and glass products,C,Manufacturing,Exclude DSI
2310,Manufacture of glass and glass products,C,Manufacturing,Laboratory Equipment including reagents and supplies
239,Manufacture of non-metallic mineral products n.e.c.,C,Manufacturing,Exclude DSI
2391,Manufacture of refractory products,C,Manufacturing,Exclude DSI
2392,Manufacture of clay building materials,C,Manufacturing,Exclude DSI
2393,Manufacture of other porcelain and ceramic products,C,Manufacturing,Exclude DSI
2394,"Manufacture of cement, lime and plaster",C,Manufacturing,Exclude DSI
2395,"Manufacture of articles of concrete, cement and plaster",C,Manufacturing,Exclude DSI
2396,"Cutting, shaping and finishing of stone",C,Manufacturing,Exclude DSI
2399,Manufacture of other non-metallic mineral products n.e.c.,C,Manufacturing,Exclude DSI
24,Manufacture of basic metals,C,Manufacturing,Exclude DSI
241,Manufacture of basic iron and steel,C,Manufacturing,Exclude DSI
2410,Manufacture of basic iron and steel,C,Manufacturing,Exclude DSI
242,Manufacture of basic precious and other non-ferrous metals,C,Manufacturing,Exclude DSI
2420,Manufacture of basic precious and other non-ferrous metals,C,Manufacturing,Exclude DSI
243,Casting of metals,C,Manufacturing,Exclude DSI
2431,Casting of iron and steel,C,Manufacturing,Exclude DSI
2432,Casting of non-ferrous metals,C,Manufacturing,Exclude DSI
25,"Manufacture of fabricated metal products, except machinery and equipment",C,Manufacturing,Exclude DSI
251,"Manufacture of structural metal products, tanks, reservoirs and steam generators",C,Manufacturing,Exclude DSI
2511,Manufacture of structural metal products,C,Manufacturing,Exclude DSI
2512,"Manufacture of tanks, reservoirs and containers of metal",C,Manufacturing,Exclude DSI
2513,"Manufacture of steam generators, except central heating hot water boilers",C,Manufacturing,Exclude DSI
252,Manufacture of weapons and ammunition,C,Manufacturing,Exclude DSI
2520,Manufacture of weapons and ammunition,C,Manufacturing,Exclude DSI
259,Manufacture of other fabricated metal products; metalworking service activities,C,Manufacturing,Exclude DSI
2591,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",C,Manufacturing,Exclude DSI
2592,Treatment and coating of metals; machining,C,Manufacturing,Exclude DSI
2593,"Manufacture of cutlery, hand tools and general hardware",C,Manufacturing,Exclude DSI
2599,Manufacture of other fabricated metal products n.e.c.,C,Manufacturing,Exclude DSI
26,"Manufacture of computer, electronic and optical products",C,Manufacturing,Exclude DSI
261,Manufacture of electronic components and boards,C,Manufacturing,Exclude DSI
2610,Manufacture of electronic components and boards,C,Manufacturing,Exclude DSI
262,Manufacture of computers and peripheral equipment,C,Manufacturing,Exclude DSI
2620,Manufacture of computers and peripheral equipment,C,Manufacturing,Exclude DSI
263,Manufacture of communication equipment,C,Manufacturing,Exclude DSI
2630,Manufacture of communication equipment,C,Manufacturing,Exclude DSI
264,Manufacture of consumer electronics,C,Manufacturing,Exclude DSI
2640,Manufacture of consumer electronics,C,Manufacturing,Exclude DSI
265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",C,Manufacturing,Review DSI
2651,"Manufacture of measuring, testing, navigating and control equipment",C,Manufacturing,Laboratory Equipment including reagents and supplies
2652,Manufacture of watches and clocks,C,Manufacturing,Exclude DSI
266,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",C,Manufacturing,Exclude DSI
