"CPC21code","CPC21partial","ISIC4code","ISIC4partial"
"04421",0,"0311",1
"04422",0,"0321",1
"04431",0,"0311",1
"04432",0,"0321",1
"04441",0,"0311",1
"04442",0,"0321",1
"04451",0,"0311",1
"04452",0,"0312",1
"04461",0,"0321",1
"04462",0,"0322",1
"04471",0,"0311",1
"04472",0,"0321",1
"04491",1,"0311",1
"04491",1,"0312",1
"04492",1,"0321",1
"04492",1,"0322",1
"04511",0,"0311",1
"04512",0,"0321",1
"04521",0,"0311",1
"04522",0,"0321",1
"04530",0,"0311",1
"04590",1,"0311",1
"04590",1,"0312",1
"04590",1,"0321",1
"04590",1,"0322",1
"04911",1,"0311",1
"04911",1,"0312",1
"04911",1,"0321",1
"04911",1,"0322",1
"04912",1,"0311",1
"04912",1,"0312",1
"04913",1,"0321",1
"04913",1,"0322",1
"04920",0,"0311",1
"04931",1,"0311",1
"04931",1,"0312",1
"04932",1,"0321",1
"04932",1,"0322",1
"04933",1,"0311",1
"04933",1,"0312",1
"04934",1,"0321",1
"04934",1,"0322",1
"11010",0,"0510",0
"11020",0,"1920",1
"11030",0,"0520",0
"11040",0,"1920",1
"11050",0,"0892",0
"12010",0,"0610",1
"12020",0,"0620",1
"12030",0,"0610",1
"13000",0,"0721",0
"14100",0,"0710",0
"14210",0,"0729",1
"14220",0,"0729",1
"14230",0,"0729",1
"14240",0,"0729",1
"14290",0,"0729",1
"15110",0,"0810",1
"15120",0,"0810",1
"15130",0,"0810",1
"15200",0,"0810",1
"15310",0,"0810",1
"15320",0,"0810",1
"15330",0,"0899",1
"15400",0,"0810",1
"16110",0,"0891",1
"16120",0,"0891",1
"16190",0,"0891",1
"16200",1,"0893",0
"16200",1,"1079",1
"16310",0,"0899",1
"16320",0,"0899",1
"16330",0,"0810",1
"16390",0,"0899",1
"17100",0,"3510",1
"17200",0,"3520",1
"17300",0,"3530",1
"17400",0,"3530",1
"18000",0,"3600",1
"21111",0,"1010",1
"21112",0,"1010",1
